species,sla,units
Acacia acinacea,6.7412553446,mm2 mg-1
Acacia acuminata,5.0641790798,mm2 mg-1
Acacia argyrophylla,4.4290769087,mm2 mg-1
Acacia baileyana,8.648025406,mm2 mg-1
Acacia calamifolia,3.1042413638,mm2 mg-1
Acacia cupularis,3.37137907,mm2 mg-1
Acacia difformis,5.4641008348,mm2 mg-1
Acacia euthycarpa,2.6453499698,mm2 mg-1
Acacia falciformis,5.6404061042,mm2 mg-1
Acacia leucoclada,6.8669391219,mm2 mg-1
Acacia microbotrya,4.9638025118,mm2 mg-1
Acacia microcarpa,2.6841632036,mm2 mg-1
Acacia montana,6.7381243352,mm2 mg-1
Acacia mucronata,4.8721380189,mm2 mg-1
Acacia notabilis,4.7747354475,mm2 mg-1
Acacia oxycedrus,2.6488870586,mm2 mg-1
Acacia polybotrya,8.3312754147,mm2 mg-1
Acacia pravissima,8.0168605624,mm2 mg-1
Acacia pycnantha,4.2619828059,mm2 mg-1
Acacia retinodes,7.5887588054,mm2 mg-1
Acacia sclerophylla,4.0014716985,mm2 mg-1
Acacia triptera,3.8053631516,mm2 mg-1
Acacia verniciflua,6.4099599689,mm2 mg-1
Acacia verticillata,5.8645360044,mm2 mg-1
Acacia wattsiana,4.6088974429,mm2 mg-1
Allocasuarina acutivalvis,1.8226070813,mm2 mg-1
Allocasuarina fraseriana,2.5331221777,mm2 mg-1
Allocasuarina huegeliana,2.8869831927,mm2 mg-1
Allocasuarina muelleriana,3.6996714087,mm2 mg-1
Allocasuarina paludosa,2.6490543944,mm2 mg-1
Allocasuarina verticillata,3.2560875893,mm2 mg-1
Babingtonia behrii,5.1642663856,mm2 mg-1
Banksia grandis,4.7351241805,mm2 mg-1
Banksia littoralis,4.772451409,mm2 mg-1
Bedfordia arborescens,11.1585414234,mm2 mg-1
Callistemon rugulosus,3.0534664035,mm2 mg-1
Callitris gracilis,3.0777299101,mm2 mg-1
Callitris rhomboidea,4.9504365738,mm2 mg-1
Cassinia aculeata,26.4425262821,mm2 mg-1
Casuarina obesa,1.6614234975,mm2 mg-1
Chamaecytisus palmensis,10.902933936,mm2 mg-1
Corymbia calophylla,6.0958394323,mm2 mg-1
Dodonaea baueri,7.1655273252,mm2 mg-1
Dodonaea sinuolata,7.1909310298,mm2 mg-1
Eucalyptus acaciiformis,5.3473404593,mm2 mg-1
Eucalyptus accedens,2.6720129505,mm2 mg-1
Eucalyptus albens,5.2033675589,mm2 mg-1
Eucalyptus amygdalina,4.886830029,mm2 mg-1
Eucalyptus argyphea,2.9670040068,mm2 mg-1
Eucalyptus astringens,3.0334438212,mm2 mg-1
Eucalyptus behriana,3.0605464146,mm2 mg-1
Eucalyptus brachycalyx,3.0587817297,mm2 mg-1
Eucalyptus bridgesiana,6.2823493129,mm2 mg-1
Eucalyptus calycogona,2.3655730011,mm2 mg-1
Eucalyptus capillosa,3.2170316899,mm2 mg-1
Eucalyptus clivicola,2.7049547627,mm2 mg-1
Eucalyptus coccifera,3.6335086995,mm2 mg-1
Eucalyptus conferruminata,3.5676416494,mm2 mg-1
Eucalyptus conglobata,2.2914920454,mm2 mg-1
Eucalyptus conica,6.9819477842,mm2 mg-1
Eucalyptus consideniana,4.8075207448,mm2 mg-1
Eucalyptus dalrympleana,6.2657010528,mm2 mg-1
Eucalyptus decipiens,2.7860316643,mm2 mg-1
Eucalyptus extensa,3.1661354015,mm2 mg-1
Eucalyptus falcata,2.7854327086,mm2 mg-1
Eucalyptus fasciculosa,4.1304941055,mm2 mg-1
Eucalyptus flocktoniae,2.7649050548,mm2 mg-1
Eucalyptus gardneri,3.50454353,mm2 mg-1
Eucalyptus kitsoniana,5.8429997134,mm2 mg-1
Eucalyptus kochii,3.1082783885,mm2 mg-1
Eucalyptus lehmannii,2.7775068806,mm2 mg-1
Eucalyptus longicornis,3.1526701129,mm2 mg-1
Eucalyptus loxophleba,3.0209827682,mm2 mg-1
Eucalyptus macrorhyncha,4.0341345737,mm2 mg-1
Eucalyptus megacornuta,3.8013422639,mm2 mg-1
Eucalyptus nitida,3.7905097212,mm2 mg-1
Eucalyptus occidentalis,2.8828984614,mm2 mg-1
Eucalyptus odorata,3.7618893981,mm2 mg-1
Eucalyptus oleosa,3.1388644548,mm2 mg-1
Eucalyptus ovata,4.0907615952,mm2 mg-1
Eucalyptus perriniana,5.9657916889,mm2 mg-1
Eucalyptus phaenophylla,2.6098881816,mm2 mg-1
Eucalyptus phenax,1.9755504293,mm2 mg-1
Eucalyptus pileata,2.2338685605,mm2 mg-1
Eucalyptus platypus,2.4389740592,mm2 mg-1
Eucalyptus pleurocarpa,2.785988491,mm2 mg-1
Eucalyptus porosa,4.0659859934,mm2 mg-1
Eucalyptus pulchella,4.0301993635,mm2 mg-1
Eucalyptus radiata,6.420101478,mm2 mg-1
Eucalyptus rodwayi,4.4668707985,mm2 mg-1
Eucalyptus rubida,7.6006146429,mm2 mg-1
Eucalyptus rudis,5.6502086438,mm2 mg-1
Eucalyptus salubris,3.2499037947,mm2 mg-1
Eucalyptus sargentii,3.4163683603,mm2 mg-1
Eucalyptus spathulata,3.5870432016,mm2 mg-1
Eucalyptus stellulata,4.3310260546,mm2 mg-1
Eucalyptus tenuiramis,4.127430928,mm2 mg-1
Eucalyptus tricarpa,3.8363483559,mm2 mg-1
Eucalyptus utilis,2.532161455,mm2 mg-1
Eucalyptus wandoo,3.0792043978,mm2 mg-1
Eucalyptus willisii,3.9223854082,mm2 mg-1
Eucalyptus woollsiana,4.5522167469,mm2 mg-1
Eutaxia myrtifolia,8.4339212772,mm2 mg-1
Exocarpos sparteus,3.5513172775,mm2 mg-1
Hakea rostrata,1.7729661638,mm2 mg-1
Hakea rugosa,2.0632358331,mm2 mg-1
Kingia australis,1.5266265677,mm2 mg-1
Kunzea ericifolia,6.3535233466,mm2 mg-1
Leptomeria drupacea,3.4688621012,mm2 mg-1
Leptospermum continentale,6.9812588738,mm2 mg-1
Leptospermum coriaceum,4.8152808227,mm2 mg-1
Melaleuca acuminata,6.781206353,mm2 mg-1
Melaleuca adnata,5.6477522934,mm2 mg-1
Melaleuca armillaris,6.9833934366,mm2 mg-1
Melaleuca brevifolia,3.7162759273,mm2 mg-1
Melaleuca cuticularis,3.939949109,mm2 mg-1
Melaleuca decussata,7.876326164,mm2 mg-1
Melaleuca ericifolia,8.3365423065,mm2 mg-1
Melaleuca halmaturorum,3.0354764493,mm2 mg-1
Melaleuca hamata,2.4188948286,mm2 mg-1
Melaleuca lateriflora,8.9579806527,mm2 mg-1
Melaleuca preissiana,5.2900517765,mm2 mg-1
Melaleuca spathulata,5.801018056,mm2 mg-1
Olearia lirata,12.8451605143,mm2 mg-1
Ozothamnus ferrugineus,11.7605358859,mm2 mg-1
Pittosporum angustifolium,5.239311982,mm2 mg-1
Rhagodia parabolica,11.1758045265,mm2 mg-1
Santalum spicatum,2.6154188708,mm2 mg-1
Viminaria juncea,4.8310901232,mm2 mg-1
